arch,encoder_name,pretrained,val_dice,val_iou,val_loss
FPN,VGG19,True,0.932220697402954,0.8781903982162476,0.0643352419137954
PSPNet,EfficientNet-B0,False,4.184595812223302e-12,4.184595812223302e-12,0.6119890213012695
PSPNet,EfficientNet-B0,True,0.5853235125541687,0.4553097784519195,0.2989175021648407
PSPNet,EfficientNet-B1,False,4.184595812223302e-12,4.184595812223302e-12,0.6155905723571777
PSPNet,EfficientNet-B1,True,0.6125197410583496,0.4696670770645141,0.2873786687850952
PSPNet,EfficientNet-B2,False,4.184595812223302e-12,4.184595812223302e-12,0.6124634146690369
PSPNet,EfficientNet-B2,True,0.7485026121139526,0.6298419833183289,0.2237567603588104
PSPNet,EfficientNet-B3,False,4.184595812223302e-12,4.184595812223302e-12,0.6114917993545532
PSPNet,EfficientNet-B3,True,0.7886102795600891,0.6742570400238037,0.1788534969091415
PSPNet,EfficientNet-B4,False,4.184595812223302e-12,4.184595812223302e-12,0.6145158410072327
PSPNet,EfficientNet-B4,True,0.8188562989234924,0.7071025371551514,0.1601717919111251
PSPNet,MiT-B0,False,0.8030225038528442,0.6880136132240295,0.1705283969640731
PSPNet,MiT-B0,True,0.7935611009597778,0.6793094277381897,0.1829305440187454
PSPNet,MiT-B1,False,0.8960484266281128,0.8187180161476135,0.0936367064714431
PSPNet,MiT-B1,True,4.184595812223302e-12,4.184595812223302e-12,0.5567539930343628
PSPNet,MobileNetV2,False,0.875604510307312,0.7931466102600098,0.116881214082241
PSPNet,MobileNetV2,True,0.8040462732315063,0.6895518898963928,0.1703702211380005
PSPNet,MobileOne-S0,False,0.9182878732681274,0.8555408120155334,0.0843857079744339
PSPNet,MobileOne-S0,True,0.9042887687683104,0.8335548043251038,0.0922770425677299
PSPNet,MobileOne-S1,False,0.8851823806762695,0.80525803565979,0.117271602153778
PSPNet,MobileOne-S1,True,0.862190306186676,0.7706270217895508,0.1245891004800796
PSPNet,MobileOne-S2,False,0.896702766418457,0.8220760226249695,0.1025939211249351
PSPNet,MobileOne-S2,True,0.8305594325065613,0.7353406548500061,0.1582651436328888
PSPNet,MobileOne-S3,False,0.9079865217208862,0.8388791680335999,0.0958125591278076
PSPNet,MobileOne-S3,True,0.8438258767127991,0.7460365295410156,0.1379507631063461
PSPNet,mobileone_s4,False,0.8828794360160828,0.8015395998954773,0.1202263459563255
PSPNet,mobileone_s4,True,0.8952732086181641,0.8206656575202942,0.1004559770226478
PSPNet,ResNet18,False,0.8907961249351501,0.8193643689155579,0.1051625907421112
PSPNet,ResNet18,True,0.8247902393341064,0.7245410680770874,0.160756915807724
PSPNet,ResNet34,False,0.923176646232605,0.866214394569397,0.0752028152346611
PSPNet,ResNet34,True,0.8349171280860901,0.7406337261199951,0.159570887684822
PSPNet,VGG11,False,0.867215096950531,0.7803145051002502,0.1299238055944442
PSPNet,VGG11,True,0.8740593194961548,0.7927340269088745,0.1183295920491218
PSPNet,VGG13,False,0.8707154989242554,0.7872666716575623,0.1243649795651435
PSPNet,VGG13,True,0.8611381649971008,0.7762571573257446,0.1363156884908676
PSPNet,VGG16,False,0.8874698877334595,0.8093797564506531,0.1139099076390266
PSPNet,VGG16,True,0.8947169184684753,0.820898175239563,0.0968156531453132
PSPNet,VGG19,False,0.8953076601028442,0.8218277096748352,0.103224441409111
PSPNet,VGG19,True,0.8672212958335876,0.7843297123908997,0.1273481994867324
SegFormer,EfficientNet-B0,False,4.184595812223302e-12,4.184595812223302e-12,0.5987221002578735
SegFormer,EfficientNet-B0,True,0.8724981546401978,0.7908881306648254,0.1126853600144386
SegFormer,EfficientNet-B1,False,4.184595812223302e-12,4.184595812223302e-12,0.5530298948287964
SegFormer,EfficientNet-B1,True,0.89296555519104,0.8175492882728577,0.0934994891285896
SegFormer,EfficientNet-B2,False,4.184595812223302e-12,4.184595812223302e-12,0.5831602215766907
SegFormer,EfficientNet-B2,True,0.8805896043777466,0.7983805537223816,0.102146215736866
SegFormer,EfficientNet-B3,False,4.184595812223302e-12,4.184595812223302e-12,0.5992976427078247
SegFormer,EfficientNet-B3,True,0.9070939421653748,0.8392216563224792,0.0823831111192703
SegFormer,EfficientNet-B4,False,4.184595812223302e-12,4.184595812223302e-12,0.5667731165885925
SegFormer,EfficientNet-B4,True,0.908699631690979,0.8405833840370178,0.0788378566503524
