arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
unet,mobilenet_v2,zscore,same-dataset,252,1243,6628369,5.114511671066285,0.07975074534970526,0.9249794960789208,0.8723535599098604,0.017334116770634577,0.06530315824578294,0.9332239829237579,0.8809020701475135,0.0376772488511744
unet,mobileone_s0,zscore,scratch,252,1243,8584833,16.038362522125244,0.16215737066917235,0.8326105438502489,0.729838506694005,0.03521704910293458,0.14888455238633835,0.8363851683809215,0.7353856883889135,0.05920786942754473
unet,mobileone_s0,zscore,other-dataset,252,1243,8584833,15.653196229934693,0.09691832342266749,0.9012543666007916,0.8358068525647312,0.02803498370543359,0.060408854765678165,0.9391441974348342,0.8913608824928634,0.027255650905389634
unet,mobileone_s0,zscore,same-dataset,252,1243,8584833,15.8718297290802,0.07694817475872662,0.928376451002813,0.8751598114173257,0.020129534519380994,0.06814286518581242,0.9333797701883968,0.8824181399418285,0.025222347369269718
unet,mobileone_s1,zscore,scratch,252,1243,9146065,7.4984694719314575,0.12044708572226193,0.8745695637390677,0.789266704458051,0.03337734523746702,0.12044708572226193,0.8745695637390677,0.789266704458051,0.03337734523746702
unet,mobileone_s1,zscore,other-dataset,252,1243,9146065,7.3613849639892575,0.06915297227958854,0.9360835880208955,0.8874608482551114,0.01625080853109322,0.06915297227958854,0.9360835880208955,0.8874608482551114,0.01625080853109322
unet,mobileone_s1,zscore,same-dataset,252,1243,9146065,7.824816627502441,0.0763298368871164,0.9289056596886411,0.8722359549107325,0.020279915027675174,0.0689350819801095,0.9301672940856491,0.8765800848950902,0.028557637469872596
unet,mobileone_s2,zscore,scratch,252,1243,13575633,7.526624660491944,0.15447113968054327,0.8473107732310952,0.7594560828788186,0.026337975843085185,0.12108897845158151,0.8761242093909487,0.797354557776969,0.040972356787986226
unet,mobileone_s2,zscore,other-dataset,252,1243,13575633,7.5870844793319705,0.07735624240467075,0.9277200108080839,0.8760454437949441,0.015898680521382227,0.06272448215720544,0.9392862734253715,0.8907356653497378,0.02209758610715942
unet,mobileone_s2,zscore,same-dataset,252,1243,13575633,7.589532823562622,0.07008776810748484,0.9351060143038811,0.8865025478893964,0.018625537790949383,0.07008776810748484,0.9351060143038811,0.8865025478893964,0.018625537790949383
unet,mobileone_s3,zscore,scratch,252,1243,16248657,7.785164475440979,0.17219858690317083,0.8179412831822808,0.7163296882317897,0.032359721759955086,0.11833730530614155,0.8708074129308699,0.7822355736865215,0.047472630642236224
unet,mobileone_s3,zscore,other-dataset,252,1243,16248657,7.6211881875991825,0.06811200505480686,0.93696553498051,0.8888996619902018,0.01630875202161925,0.06811200505480686,0.93696553498051,0.8888996619902018,0.01630875202161925
unet,mobileone_s3,zscore,same-dataset,252,1243,16248657,7.552923517227173,0.06941295876104028,0.9370106361800399,0.8905534276248751,0.014243145458518512,0.06070142011559019,0.9417619145117934,0.8980927402131134,0.02177804649349243
unet,mobileone_s4,zscore,scratch,252,1243,21508537,10.65174111366272,0.19764600511960992,0.8074454532356293,0.7016255826788954,0.022468398162533366,0.15704090549211203,0.8241556567332482,0.717594256635069,0.06451485879600995
unet,mobileone_s4,zscore,other-dataset,252,1243,21508537,11.086652450561523,0.07640194771803874,0.9287001263778821,0.8787571603218011,0.016023330242624357,0.06892734870902013,0.9292055407744305,0.8774074391789333,0.028768048636497012
unet,mobileone_s4,zscore,same-dataset,252,1243,21508537,10.498772764205933,0.07773407802812916,0.9306671475558538,0.8799481173244486,0.015708945115052518,0.07617490011554329,0.9290262269858669,0.8754775982562899,0.0214370722394614
unet,resnet18,zscore,scratch,252,1243,14321937,3.464824631214142,0.05654257996276033,0.9402236969166001,0.89249294300954,0.028862396107306554,0.04987171740059112,0.9481158191315704,0.9078100523637939,0.026299099363977948
unet,resnet18,zscore,other-dataset,252,1243,14321937,3.123229434490204,0.05438025992840217,0.9487450101734263,0.9112967946120836,0.015628904429456546,0.04664974680360727,0.9545095770568112,0.9187589232612788,0.021052237038337994
unet,resnet18,zscore,same-dataset,252,1243,14321937,3.205466258525848,0.05868860624269047,0.9418217036768206,0.9029738490656318,0.01732634658378268,0.04140375605510879,0.9597222925862859,0.9269994235479918,0.018752853785242354
unet,resnet34,zscore,scratch,252,1243,24430097,4.254404482841491,0.05607584340022825,0.9418523493833534,0.8989940552776702,0.03427972934312291,0.05473254152295672,0.942916099045033,0.9017271404772733,0.0404527462900631
unet,resnet34,zscore,other-dataset,252,1243,24430097,4.2966297602653505,0.10425990809141775,0.8943138080360615,0.8280888558968554,0.020450642184605673,0.04925950820694887,0.9530031452808089,0.9164092953130303,0.017277470893330045
unet,resnet34,zscore,same-dataset,252,1243,24430097,4.287131507396698,0.039831780679434034,0.9613572233450192,0.930039132686747,0.01613810182445579,0.03698886565906044,0.9642857576893494,0.9333288188145608,0.018013859818142557
unet,vgg11_bn,zscore,scratch,252,1243,18258385,3.322604782581329,0.06304928657395746,0.9364571674926955,0.8913142234206871,0.035635023776973994,0.05546584868037883,0.9398555088119936,0.8913521755154058,0.04893813903133074
